Director_Name,Runtime,Gross,Genres,Movie_Title,Plot_Keywords,Language,Content_Rating,Budget,Aspect_Ratio,Movie_ID,Production_Companies,Release_Date,Revenue
Gore Verbinski,150.0,89289910.0,Action|Adventure|Western,The Lone Ranger,horse|outlaw|texas|texas ranger|train,English,PG-13,215000000.0,2.35,57201,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Infinitum Nihil"", ""id"": 2691}, {""name"": ""Silver Bullet Productions (II)"", ""id"": 37380}, {""name"": ""Blind Wink Productions"", ""id"": 37381}, {""name"": ""Classic Media"", ""id"": 37382}]",2013-07-03,89289910
Zack Snyder,143.0,291021565.0,Action|Adventure|Fantasy|Sci-Fi,Man of Steel,based on comic book|british actor playing american character|final battle|origin of hero|reboot,English,PG-13,225000000.0,2.35,49521,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]",2013-06-12,662845518
Andrew Adamson,150.0,141614023.0,Action|Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian,brother brother relationship|brother sister relationship|good versus evil|king|narnia,English,PG,225000000.0,2.35,2454,"[{""name"": ""Walt Disney"", ""id"": 5888}, {""name"": ""Walden Media"", ""id"": 10221}, {""name"": ""Stillking Films"", ""id"": 11345}, {""name"": ""Ozumi Films"", ""id"": 11440}, {""name"": ""Propeler"", ""id"": 11441}, {""name"": ""Silverbell Films"", ""id"": 11442}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2008-05-15,419651413
Joss Whedon,173.0,623279547.0,Action|Adventure|Sci-Fi,The Avengers,alien invasion|assassin|battle|iron man|soldier,English,PG-13,220000000.0,1.85,24428,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Marvel Studios"", ""id"": 420}]",2012-04-25,1519557910
Rob Marshall,136.0,241063875.0,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides,blackbeard|captain|pirate|revenge|soldier,English,PG-13,250000000.0,2.35,1865,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}]",2011-05-14,1045713802
Barry Sonnenfeld,106.0,179020854.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Men in Black 3,alien|criminal|m.i.b.|maximum security prison|prison,English,PG-13,225000000.0,1.85,41154,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Media Magik Entertainment"", ""id"": 5627}, {""name"": ""Imagenation Abu Dhabi FZ"", ""id"": 6736}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}]",2012-05-23,624026776
Marc Webb,153.0,262030663.0,Action|Adventure|Fantasy,The Amazing Spider-Man,lizard|outcast|spider|spider man|teenager,English,PG-13,230000000.0,2.35,1930,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Entertainment"", ""id"": 7505}]",2012-06-27,752215857
Ridley Scott,156.0,105219735.0,Action|Adventure|Drama|History,Robin Hood,1190s|archer|england|king of england|robin hood,English,PG-13,200000000.0,2.35,20662,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Relativity Media"", ""id"": 7295}]",2010-05-12,310669540
Peter Jackson,186.0,258355354.0,Adventure|Fantasy,The Hobbit: The Desolation of Smaug,dwarf|elf|lake town|mountain|sword and sorcery,English,PG-13,225000000.0,2.35,57158,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",2013-12-11,958400000
Chris Weitz,113.0,70083519.0,Adventure|Family|Fantasy,The Golden Compass,children|epic|friend|girl|quest,English,PG-13,180000000.0,2.35,2268,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Depth of Field"", ""id"": 1473}, {""name"": ""Scholastic Productions"", ""id"": 1938}]",2007-12-04,372234864
James Cameron,194.0,658672302.0,Drama|Romance,Titanic,artist|love|ship|titanic|wet,English,PG-13,200000000.0,2.35,597,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",1997-11-18,1845034188
Anthony Russo,147.0,407197282.0,Action|Adventure|Sci-Fi,Captain America: Civil War,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,English,PG-13,250000000.0,2.35,271110,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Walt Disney Studios Motion Pictures"", ""id"": 3036}, {""name"": ""Vita-Ray Dutch Productions (III)"", ""id"": 84424}, {""name"": ""Deluxe Digital Studios"", ""id"": 84425}]",2016-04-27,1153304495
Peter Berg,131.0,65173160.0,Action|Adventure|Sci-Fi|Thriller,Battleship,box office flop|hawaii|naval|oahu hawaii|ship,English,PG-13,209000000.0,2.35,44833,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Hasbro"", ""id"": 2598}, {""name"": ""Bluegrass Films"", ""id"": 13778}, {""name"": ""Film 44"", ""id"": 20153}]",2012-04-11,303025485
Colin Trevorrow,124.0,652177271.0,Action|Adventure|Sci-Fi|Thriller,Jurassic World,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,English,PG-13,150000000.0,2.0,135397,"[{""name"": ""Universal Studios"", ""id"": 13}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}]",2015-06-09,1513528810
Sam Raimi,135.0,373377893.0,Action|Adventure|Fantasy|Romance,Spider-Man 2,death|doctor|scientist|super villain|tentacle,English,PG-13,200000000.0,2.35,558,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",2004-06-25,783766341
Shane Black,195.0,408992272.0,Action|Adventure|Sci-Fi,Iron Man 3,armor|explosion|human bomb|missile attack|terrorist,English,PG-13,200000000.0,2.35,68721,"[{""name"": ""Marvel Studios"", ""id"": 420}]",2013-04-18,1215439994
Tim Burton,108.0,334185206.0,Adventure|Family|Fantasy,Alice in Wonderland,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,English,PG,200000000.0,1.85,12155,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Team Todd"", ""id"": 598}, {""name"": ""Tim Burton Productions"", ""id"": 8601}, {""name"": ""Roth Films"", ""id"": 16314}, {""name"": ""Zanuck Company, The"", ""id"": 20004}]",2010-03-03,1025491110
Dan Scanlon,104.0,268488329.0,Adventure|Animation|Comedy|Family|Fantasy,Monsters University,cheating|fraternity|monster|singing in a car|university,English,G,200000000.0,1.85,62211,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]",2013-06-20,743559607
Michael Bay,150.0,402076689.0,Action|Adventure|Sci-Fi,Transformers: Revenge of the Fallen,autobot|decepticon|machine|sun|symbol,English,PG-13,200000000.0,2.35,8373,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""Hasbro Studios"", ""id"": 22826}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2009-06-19,836297228
Michael Bay,165.0,245428137.0,Action|Adventure|Sci-Fi,Transformers: Age of Extinction,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,English,PG-13,210000000.0,2.35,91314,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""China Movie Channel"", ""id"": 11413}, {""name"": ""Hasbro Studios"", ""id"": 22826}, {""name"": ""Ian Bryce Productions"", ""id"": 38833}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2014-06-25,1091405097
Marc Webb,142.0,202853933.0,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,English,PG-13,200000000.0,2.35,102382,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""Avi Arad Productions"", ""id"": 31828}, {""name"": ""Matt Tolmach Productions"", ""id"": 53462}]",2014-04-16,705717432
Joseph Kosinski,125.0,172051787.0,Action|Adventure|Sci-Fi,TRON: Legacy,arcade|bridge|disappearance|escape|warrior,English,PG,170000000.0,2.35,20526,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""LivePlanet"", ""id"": 7161}, {""name"": ""Prana Studios"", ""id"": 18713}, {""name"": ""Sean Bailey Productions"", ""id"": 23791}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}, {""name"": ""Kontsept Film Company"", ""id"": 76067}]",2010-12-10,400062763
John Lasseter,106.0,191450875.0,Adventure|Animation|Comedy|Family|Sport,Cars 2,best friend|car race|conspiracy|gadget car|spy,English,G,200000000.0,2.35,49013,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]",2011-06-11,559852396
Martin Campbell,123.0,116593191.0,Action|Adventure|Sci-Fi,Green Lantern,autopsy|lantern|planet|ring|test pilot,English,PG-13,200000000.0,2.35,44912,"[{""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}]",2011-06-16,219851172
Lee Unkrich,103.0,414984497.0,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 3,college|day care|escape|teddy bear|toy,English,G,200000000.0,1.85,10193,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]",2010-06-16,1066969703
McG,118.0,125320003.0,Action|Adventure|Sci-Fi,Terminator Salvation,death row|future|machine|rescue|skynet,English,PG-13,200000000.0,2.35,534,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""The Halcyon Company"", ""id"": 4021}, {""name"": ""Wonderland Sound and Vision"", ""id"": 4022}, {""name"": ""Warner Bros."", ""id"": 6194}]",2009-05-20,371353001
James Wan,140.0,350034110.0,Action|Crime|Thriller,Furious 7,car falling off a cliff|hospital|revenge|star died before release|terrorist,English,PG-13,190000000.0,2.35,168259,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""One Race Films"", ""id"": 7154}, {""name"": ""China Film Co."", ""id"": 40890}, {""name"": ""Qu\u00e9bec Production Services Tax Credit"", ""id"": 86352}, {""name"": ""Media Rights Capital (MRC)"", ""id"": 86655}, {""name"": ""Abu Dhabi Film Commission"", ""id"": 87857}, {""name"": ""Colorado Office of Film, Television & Media"", ""id"": 87858}]",2015-04-01,1506249360
Marc Forster,123.0,202351611.0,Action|Adventure|Horror|Sci-Fi|Thriller,World War Z,chaos|disease|infection|pandemic|zombie,English,PG-13,190000000.0,2.35,72190,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""GK Films"", ""id"": 3281}, {""name"": ""Skydance Productions"", ""id"": 6277}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""Apparatus Productions"", ""id"": 11956}, {""name"": ""Latina Pictures"", ""id"": 19108}, {""name"": ""2DUX\u00b2"", ""id"": 23644}]",2013-06-20,531865000
Bryan Singer,149.0,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past,dystopia|super strength|supernatural power|time paradox|time travel,English,PG-13,200000000.0,2.35,127585,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Down Productions"", ""id"": 37336}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2014-05-15,747862775
J.J. Abrams,132.0,228756232.0,Action|Adventure|Sci-Fi,Star Trek Into Darkness,admiral|captain|manhunt|mission|space,English,PG-13,190000000.0,2.35,54138,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Skydance Productions"", ""id"": 6277}, {""name"": ""Bad Robot"", ""id"": 11461}, {""name"": ""Kurtzman/Orci"", ""id"": 12536}]",2013-05-05,467365246
Bryan Singer,114.0,65171860.0,Adventure|Fantasy,Jack the Giant Slayer,bean|giant|king|no opening credits|princess,English,PG-13,195000000.0,2.35,81005,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Big Kid Pictures"", ""id"": 8406}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}]",2013-02-27,197687603
Mike Newell,116.0,90755643.0,Action|Adventure|Fantasy|Romance,Prince of Persia: The Sands of Time,alamut|dagger|king|persia|princess,English,PG-13,200000000.0,2.35,9543,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}]",2010-05-19,335154643
Guillermo del Toro,131.0,101785482.0,Action|Adventure|Sci-Fi,Pacific Rim,giant monster|kaiju|pilot|portal|robot,English,PG-13,190000000.0,1.85,68726,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Disney Double Dare You (DDY)"", ""id"": 19750}, {""name"": ""Indochina Productions"", ""id"": 19751}]",2013-07-11,407602906
Michael Bay,154.0,352358779.0,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon,autobot|decepticon|job interview|moon|spacecraft,English,PG-13,195000000.0,2.35,38356,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Indochina Productions"", ""id"": 19751}, {""name"": ""Hasbro Studios"", ""id"": 22826}]",2011-06-28,1123746996
Steven Spielberg,122.0,317011114.0,Action|Adventure|Fantasy,Indiana Jones and the Kingdom of the Crystal Skull,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,English,PG-13,185000000.0,2.35,217,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Paramount Pictures"", ""id"": 4}]",2008-05-21,786636033
Peter Sohn,93.0,123070338.0,Adventure|Animation|Comedy|Family|Fantasy,The Good Dinosaur,apatosaurus|asteroid|dinosaur|fear|river,English,PG,,2.35,105864,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]",2015-11-14,331926147
Mark Andrews,93.0,237282182.0,Adventure|Animation|Comedy|Family|Fantasy,Brave,archery|coming of age|female warrior|princess|rebellious daughter,English,PG,185000000.0,2.35,62177,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]",2012-06-21,538983207
Justin Lin,122.0,130468626.0,Action|Adventure|Sci-Fi|Thriller,Star Trek Beyond,hatred|sequel|space opera|star trek|third part,English,PG-13,185000000.0,2.35,188927,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Bad Robot"", ""id"": 11461}, {""name"": ""Perfect Storm Entertainment"", ""id"": 34530}, {""name"": ""Alibaba Pictures Group"", ""id"": 69484}, {""name"": ""Skydance Media"", ""id"": 82819}, {""name"": ""Sneaky Shark"", ""id"": 83644}, {""name"": ""Huahua Media"", ""id"": 83645}]",2016-07-07,343471816
Andrew Stanton,98.0,223806889.0,Adventure|Animation|Family|Sci-Fi,WALL·E,earth|obesity|plant|robot|soil,English,G,180000000.0,2.35,10681,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}, {""name"": ""FortyFour Studios"", ""id"": 93408}]",2008-06-22,521311860
Brett Ratner,91.0,140080850.0,Action|Comedy|Crime|Thriller,Rush Hour 3,ambassador|assassination|chinese|french|triad,English,PG-13,140000000.0,2.35,5174,"[{""name"": ""New Line Cinema"", ""id"": 12}]",2007-08-08,258022233
Roland Emmerich,158.0,166112167.0,Action|Adventure|Sci-Fi,2012,ark|catastrophe|geologist|president|writer,English,PG-13,200000000.0,2.35,14161,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Centropolis Entertainment"", ""id"": 347}, {""name"": ""The Mark Gordon Company"", ""id"": 1557}, {""name"": ""Farewell Productions"", ""id"": 10905}]",2009-10-10,769653595
Robert Zemeckis,96.0,137850096.0,Animation|Drama|Family|Fantasy,A Christmas Carol,charles dickens|christmas|christmas eve|ghost|scrooge,English,PG,200000000.0,2.35,17979,"[{""name"": ""Walt Disney"", ""id"": 5888}, {""name"": ""ImageMovers"", ""id"": 11395}]",2009-11-04,325233863
Lana Wachowski,127.0,47375327.0,Action|Adventure|Sci-Fi,Jupiter Ascending,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,English,PG-13,176000000.0,2.35,76757,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Anarchos Productions"", ""id"": 450}, {""name"": ""Warner Bros."", ""id"": 6194}]",2015-02-04,183987723
David Yates,110.0,124051759.0,Action|Adventure|Drama|Romance,The Legend of Tarzan,africa|capture|jungle|male objectification|tarzan,English,PG-13,180000000.0,2.35,258489,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Dark Horse Entertainment"", ""id"": 552}, {""name"": ""Jerry Weintraub Productions"", ""id"": 2596}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}, {""name"": ""Beagle Pug Films"", ""id"": 46339}, {""name"": ""Riche Productions"", ""id"": 86565}, {""name"": ""Village Roadshow Films North America"", ""id"": 86566}]",2016-06-29,356743061
Andrew Adamson,150.0,291709845.0,Adventure|Family|Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",hide and seek|lion|magic|professor|snow,English,PG,180000000.0,2.35,411,"[{""name"": ""Walt Disney"", ""id"": 5888}, {""name"": ""Walden Media"", ""id"": 10221}]",2005-12-07,748806957
Bryan Singer,144.0,154985087.0,Action|Adventure|Sci-Fi,X-Men: Apocalypse,mutant|superhero|superhero team|x men|year 1983,English,PG-13,178000000.0,2.35,246655,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Kinberg Genre"", ""id"": 78091}]",2016-05-18,543934787
Christopher Nolan,152.0,533316061.0,Action|Crime|Drama|Thriller,The Dark Knight,based on comic book|dc comics|psychopath|star died before release|urban setting,English,PG-13,185000000.0,2.35,155,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]",2008-07-16,1004558444
Pete Docter,96.0,292979556.0,Adventure|Animation|Comedy|Family,Up,balloon|house|promise|retirement|skeleton,English,PG,175000000.0,1.85,14160,"[{""name"": ""Pixar Animation Studios"", ""id"": 3}]",2009-05-13,735099082
Jon Favreau,126.0,318298180.0,Action|Adventure|Sci-Fi,Iron Man,afghanistan|billionaire|inventor|playboy|u.s. air force,English,PG-13,140000000.0,2.35,1726,"[{""name"": ""Marvel Studios"", ""id"": 420}]",2008-04-30,585174222
Martin Scorsese,126.0,73820094.0,Adventure|Drama|Family|Mystery,Hugo,automaton|mechanical|railway station|steampunk|train,English,PG,170000000.0,1.85,44826,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Infinitum Nihil"", ""id"": 2691}, {""name"": ""GK Films"", ""id"": 3281}]",2011-11-22,185770160
Barry Sonnenfeld,106.0,113745408.0,Action|Comedy|Sci-Fi|Western,Wild Wild West,buddy movie|general|inventor|steampunk|utah,English,PG-13,170000000.0,1.85,8487,"[{""name"": ""Todman, Simon, LeMasters Productions"", ""id"": 2507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Peters Entertainment"", ""id"": 16774}, {""name"": ""Sonnenfeld Josephson Worldwide Entertainment"", ""id"": 57088}]",1999-06-29,222104681
Rob Cohen,112.0,102176165.0,Action|Adventure|Fantasy|Horror|Thriller,The Mummy: Tomb of the Dragon Emperor,army|china|emperor|mummy|shangri la,English,PG-13,145000000.0,2.35,1735,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""China Film Co-Production Corporation"", ""id"": 2269}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Alphaville Films"", ""id"": 11462}, {""name"": ""Sommers Company, The"", ""id"": 19643}]",2008-07-01,401128639
David Ayer,123.0,161087183.0,Action|Adventure|Comedy|Sci-Fi,Suicide Squad,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,English,PG-13,175000000.0,2.35,297761,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}]",2016-08-02,745000000
Tom Shadyac,96.0,100289690.0,Comedy|Family|Fantasy,Evan Almighty,ark|change|congressman|depiction of god|flood,English,PG,175000000.0,2.35,2698,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Shady Acres Entertainment"", ""id"": 159}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Playtone"", ""id"": 4171}, {""name"": ""Relativity Media"", ""id"": 7295}]",2007-06-09,173000000
Doug Liman,113.0,100189501.0,Action|Adventure|Sci-Fi,Edge of Tomorrow,alien|combat|dying repeatedly|end of the world|time loop,English,PG-13,178000000.0,2.35,137113,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Viz Media"", ""id"": 6687}, {""name"": ""Province of British Columbia Production Services Tax Credit"", ""id"": 12200}, {""name"": ""3 Arts Entertainment"", ""id"": 36390}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",2014-05-27,370541256
